TRANSPORT_ID,IDENTIFIER_NUMBER,REGISTRATION_NUMBER_1,REGISTRATION_NUMBER_2,DEPARTURE_DATE,NAT_TRANSPORT_MODE_CODE,INTL_TRANSPORT_MODE_CODE,NATIONALITY,CUSTOMS_OFFICE,CMR_NUMBER,CMR_DATE,TIR_NUMBER,TIR_DATE,CARRIER_CODE,HAS_IDENTIFIER_DEFECT,HAS_CMR_NUMBER_DEFECT,HAS_TIR_NUMBER_DEFECT,HAS_TIR_DATE_DEFECT,HAS_CMR_DATE_DEFECT,HAS_CUSTOMS_OFFICE_DEFECT,HAS_TRANSPORT_DEFECT
612259,,587902,,21/02/17,3,4,FR,,,,,,UTE,0,0,0,0,0,,2
608603,,587903,,21/02/17,3,4,FR,FR00677A,,,,,UTE,,,,,,,
608604,,587903,,21/02/17,3,4,FR,,,,,,UTE,,,,,,,
612261,,587903,,21/02/17,3,4,FR,FR00677A,,,,,UTE,0,0,0,0,0,,2
612262,,587903,,21/02/17,3,4,FR,,,,,,UTE,0,0,0,0,0,,2
504730,,,,11/05/16,3,1,RO,DE002452,,,,,P&ONEDLLOYD,,,,,,,
504731,,,,11/05/16,3,1,RO,,,,,,P&ONEDLLOYD,,,,,,,
504732,,,,11/05/16,3,1,RO,ROCT1970,,,,,ARKAS,,,,,,,
504733,,,,11/05/16,3,1,RO,,,,,,ARKAS,,,,,,,
608834,,OOOO,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
608835,,OOOO,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
608836,,OOOO,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
608837,,IIOO,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
608838,,IIOO,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
